Welcome to the profile statistics browser.
profiling.data% profiling.data% profiling.data% Thu Sep 15 15:37:01 2016    profiling.data

         16958841 function calls (16955127 primitive calls) in 29.129 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      239    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
     1021    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
      277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1591(__init__)
      569    0.000    0.000    0.000    0.000 sre_parse.py:214(match)
       14    0.000    0.000    0.001    0.000 abc.py:132(__new__)
      311    0.000    0.000    0.000    0.000 sre_parse.py:150(append)
        1    0.000    0.000    0.067    0.067 __init__.py:106(<module>)
      277    0.000    0.000    0.000    0.000 {built-in method _fix_co_filename}
      630    0.000    0.000    0.000    0.000 {built-in method allocate_lock}
       17    0.000    0.000    0.000    0.000 sre_compile.py:406(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 numerictypes.py:82(<module>)
       23    0.000    0.000    0.005    0.000 sre_parse.py:750(parse)
       98    0.000    0.000    0.000    0.000 {built-in method getcwd}
        2    0.000    0.000    0.000    0.000 {built-in method open}
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
      404    0.000    0.000    0.000    0.000 __init__.py:87(__iter__)
       65    0.000    0.000    0.000    0.000 {built-in method is_builtin}
       82    0.000    0.000    0.000    0.000 __init__.py:366(<genexpr>)
        1    0.000    0.000    0.003    0.003 numeric.py:1(<module>)
      268    0.000    0.000    0.000    0.000 {built-in method add_docstring}
        1    0.000    0.000    0.005    0.005 __init__.py:38(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:1333(_execute_child)
      309    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1266(find_spec)
        1    0.000    0.000    0.034    0.034 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 dense.py:3(<module>)
       17    0.000    0.000    0.000    0.000 sre_compile.py:408(<listcomp>)
        2    0.000    0.000    0.007    0.003 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        9    0.000    0.000    0.000    0.000 datetime.py:302(__new__)
        1    0.000    0.000    0.004    0.004 decimal.py:113(<module>)
      179    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
      313    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:288(cb)
      304    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(__init__)
      925    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
      104    0.000    0.000    0.000    0.000 _decorator3.py:144(<listcomp>)
       24    0.000    0.000    0.002    0.000 ga.py:97(exchange)
      172    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      104    0.000    0.000    0.000    0.000 _collections_abc.py:442(values)
        2    0.000    0.000    0.019    0.010 __init__.py:4(<module>)
       13    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:1708(load_module)
      260    0.000    0.000    0.000    0.000 inspect.py:163(isfunction)
        1    0.000    0.000    0.000    0.000 __init__.py:266(_reset_cache)
        2    0.000    0.000    0.000    0.000 {built-in method dlopen}
        1    0.000    0.000    0.003    0.003 legendre.py:83(<module>)
        1    0.000    0.000    0.001    0.001 ElementTree.py:34(<module>)
       23    0.000    0.000    0.001    0.000 sre_compile.py:444(_compile_info)
      201    0.000    0.000    0.000    0.000 graph.py:1250(degree_iter)
        3    0.000    0.000    0.000    0.000 numeric.py:346(extend_all)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 case.py:316(TestCase)
      365    0.000    0.000    0.000    0.000 {built-in method min}
       77    0.000    0.000    0.000    0.000 sre_compile.py:418(_simple)
       16    0.000    0.000    0.000    0.000 {built-in method print}
       55    0.000    0.000    0.000    0.000 sre_parse.py:307(_escape)
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2102(path_hook_for_FileFinder)
      208    0.000    0.000    0.000    0.000 _decorator3.py:183(<genexpr>)
       23    0.000    0.000    0.000    0.000 core.py:5997(getdoc)
       19    0.000    0.000    0.000    0.000 nosetester.py:140(__init__)
      104    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.006    0.006 inspect.py:27(<module>)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
      338    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      404    0.000    0.000    0.000    0.000 {built-in method proxy}
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
      600    0.000    0.000    0.000    0.000 inspect.py:2143(name)
        1    0.000    0.000    0.000    0.000 numerictypes.py:304(_add_aliases)
        3    0.000    0.000    0.000    0.000 decimal.py:3894(__init__)
      369    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1985(<genexpr>)
      355    0.000    0.000    0.000    0.000 {built-in method getlower}
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
      261    0.000    0.000    0.000    0.000 sre_parse.py:138(__len__)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
    27/26    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
        1    0.000    0.000    0.003    0.003 util.py:202(_findSoname_ldconfig)
       26    0.000    0.000    0.000    0.000 numerictypes.py:232(bitname)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
      256    0.000    0.000    0.000    0.000 sre_compile.py:107(fixup)
      277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:850(has_location)
       27    0.000    0.000    0.000    0.000 core.py:822(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
